Row,z_1,z_2
0,0.056342633919195875,-1.0206584363509885
1,0.0835724886747751,-0.7558699712324723
2,0.7138815069055089,-1.0047553585390692
3,0.4259796053053621,-1.3613837502082944
4,,
5,0.48384816454867174,-0.2320345372841646
6,0.9027029231861106,-0.19518562425921246
7,0.7138815069055089,-1.0047553585390692
8,0.21012074619615273,-0.4018899106798994
9,,
10,0.5935994893555022,0.7187076855061353
11,1.1070326522152636,0.8253702133168199
12,1.1848105027328009,0.5094692886907717
13,0.8368188936778589,0.4666415753997185
